Nama_Obat;HPP;Stock
BALI ALUS LIP BALM 4GR VANILA;17.094,00;0,00
SENSODYNE COOL GEL 160GR;42.735,00;1,00
CETAPHIL BRIGHT HRB DAY CREAM;207.221,00;0,00
BALI ALUS HAIR VITAMIN ALOEVERA ARGAN 30 ML;42.000,00;0,00
MAKARIZO HAIR FRAGRANCE CHERRY BLOSSOM 100ML;23.800,00;2,00
FISHERMAN FRIEND ORIGINAL SF;16.681,18;0,00
PASEO POCKET 9 SHEET;2.500,00;0,00
HANSAPLAST AQUA PROTECT 3 XL;95.999,46;0,00
NIVEA DEO ROLL ON PEARL & BEAUTY 50 ML;21.090,00;4,00
LEUKOMED 7.2 X 5;5.050,50;0,00
SAFE CARE REFRESHING OIL 30ML;30.750,33;0,00
BALI ALUS BATHSALT 150 GR GREEN TEA;20.202,00;2,00
LIFREE CELANA EXTRA XL3;46.177,00;1,00
DETTOL SENSITIVE WIPE 50 SACHET;39.180,59;0,00
FIESTA NEW PARTY PACK @12;42.957,00;1,00
PURE BABY MULTIPURPOSE WIPES @50;9.838,50;0,00
BAYMED KRUK KETIAK L;179.999,82;0,00
MASKER BIRU KARET ECER;5.000,00;3,00
NUFACE SUN PROTECT CE SPF 30;34.899,97;2,00
CBD KERATIN PRO HAIR MASK SACH;8.650,23;0,00
BALI DANCE MASSAGE OIL JASMINE;43.799,49;0,00
PANTENE KON RAMBUT RUSAK 75ML;16.300,00;0,00
SISIR KESEHATAN RAMBUT OVAL PREMIUM;17.899,00;8,00
SALSA SPONS MANDI;9.180,00;0,00
MADU ENAK PURE 350 GR;35.200,00;0,00
KOPI HERKULES SACHET @5;155.400,00;0,00
BALI DANCE AROMATHERPY FRANGIPANGI 10 ML;44.799,60;2,00
SOYJOY TROPICAL CHANBERRIES;8.378,00;0,00
CIPTADENT MEDIUM EXTRA CLEAN;3.200,00;0,00
BALI ALUS LIP BALM 4GR TANGERIN;17.094,00;0,00
MY BABY PWD BIANG KERINGAT 150GR;8.275,00;0,00
FIESTA WATERMELON SUGAR @3;12.654,00;6,00
MAKARIZO HAIR FRAGRANCE MORNING DEW 100ML;23.800,00;0,00
PEPSODENT F.C MINT 190GR;15.728,00;0,00
FISHERMAN FRIEND MINT LOZENGES SF;16.681,18;5,00
PASEO ULTRASOFT 40S;6.000,00;0,00
LEUKOMED T PLUS (10 CMX25 CM);46.564,50;2,00
SKIN BRIGHT SERUM;128.621,00;0,00
SENSODYNE GENTLE WHITENING 100G;32.079,00;0,00
BALI ALUS BATHSALT 150 GR JASMINE;20.202,00;0,00
LIFREE CELANA TIPIS M5;44.212,41;1,00
DETTOL CITRUS SPRAY 50 ML;17.733,17;0,00
FIESTA MIX VARIANT GEL @3;9.990,00;1,00
NIVEA MEN BLACK & WHITE INV 24X150 ML;48.840,00;0,00
PURE BABY RASH CREAM 15 GR;23.855,01;0,00
ALLERCYL SYRUP 60ML;9.000,00;1,00
BAYMED KRUK KETIAK S;179.999,82;0,00
MIRANDA HAIR COLOUR YELLOW MC-12;17.250,51;4,00
CBD KERATIN PRO HAIR VIT DAILY 100ML;59.650,29;2,00
BALI DANCE MASSAGE OIL GREEN TEA;43.799,49;5,00
LIFEBUOY BW TOTAL 10 100GR;14.900,00;0,00
SISIR KESEHATAN RAMBUT;15.899,00;9,00
FLUIMUCIL EFF TABLET 600 MG 10'S;17.427,00;0,00
PISAU CUKUR ALIS;1.650,00;0,00
HANSAPLAST ROLL KAIN 1,25 X 1 M (1989);5.049,40;3,00
CUSSON BABY PWD 100GR;5.800,00;0,00
SYUGA MINYAK VCO;29.970,00;2,00
BALI DANCE AROMATHERPY CHAMOMILE 10 ML;44.799,60;2,00
ALTAMED NITRILE SIZE L (BLACK);88.800,00;2,00
SOYJOY MOCHACHOCO CASHEW;8.378,00;2,00
NYU NATURAL BLEACH;14.300,00;0,00
BALI ALUS LIP BALM 4GR PEPPERMINT;17.094,00;0,00
MY BABY PWD CALM & RELAX 90GR;5.975,00;0,00
VITACIMIN SWEETLETS TAB @20;860,25;0,00
FISHERMAN FRIEND BLACKCURRANT;16.681,18;8,00
PASEO SMART 250S;9.000,00;0,00
LEUKOMED (8,0X10 CM);9.934,50;0,00
HANSAPLAST ROLL PLESTER 1M X 10;57.319,00;0,00
CBD COLLAGEN REPAIR COND 250ML;47.149,47;3,00
IMPLORA PENSIL ALIS SIKAT RAUT;6.500,00;0,00
BALI ALUS BATHSALT 150 GR LAVENDER;20.202,00;0,00
TADALAFIL 20MG;57.165,00;6,00
LIFREE CELANA EXTRA M5;44.212,00;0,00
NIVEA MEN COOLKICK BLUE SPRAY;48.840,00;4,00
BANANA B. SIMPLY PROTECT BABY LOT SPF 50+;215.000,00;0,00
BAYMED KRUK KETIAK M;179.999,82;0,00
MIRANDA HAIR COLOUR FLO RED MC-7;17.250,51;4,00
HERBORIST BODY WASH FRANGI 250ML;32.816,68;0,00
BALI DANCE MASSAGE OIL FRANGI;43.799,49;1,00
PEPSODENT ACTION COMPLETE 75GR;9.300,00;0,00
EVELYN NAIL POLIS REMOVE;7.605,94;0,00
IMPLORA ICARE STRABERRY KUDA PONY;3.793,00;0,00
CUSSON BABY PWD MILD GENTLE 75G;5.800,00;0,00
PARAMAU BALM 30 GR;116.550,00;-2,00
PURE BB TOUNGE GUM WIPES ORIGINAL;24.000,42;1,00
BALI DANCE AROMATHERPY CHAMPACA 10 ML;44.799,60;2,00
SOYJOY DANIS CHEESE;8.378,00;3,00
CIPTADENT TC SOFT;2.425,00;0,00
BALI ALUS INCENSE STICK YLANG YLANG;17.094,00;0,00
VITACIMIN FRUIT PUNCH TAB @20;860,25;0,00
VIVO LITTLE BUNNY BLUE;94.350,00;0,00
FRESH CARE SMASH MATCHA;12.831,60;0,00
FISHERMAN FRIEND ORIGINAL EXTRA STRONG;16.372,50;7,00
LEUKOMED T PLUS (5,0X7,2);11.599,50;1,00
MARIMER NASAL SPRAY;148.629,00;0,00
HERBORIST LLR COCONUT 100GR;18.649,11;2,00
BALI ALUS BATHSALT 150 GR SANDALWOOD;20.202,00;0,00
VEET HAIR REMOVER 25G;23.802,09;0,00
ALTAMED GLOVE SIZE S @10;34.410,00;8,00
SUNBLOCK ZINC (L);154.723,00;3,00
LIFREE CELANA EXTRA L4;46.177,00;1,00
PASEO WIPES ANTIBACTERIAL 50S;9.400,00;0,00
DETTOL WIPES @50;39.180,59;5,00
SAFEGLOVE NITRIL BLACK M;55.000,50;0,00
MIRANDA HAIR COLOUR BLEACHING MC-6;17.250,51;3,00
HERBORIST BODY WASH ALOE VERA 250ML;32.816,68;0,00
DARYAZINC SYR;36.075,00;0,00
BALI BOAT SPF 50 SPRAY 100ML;155.799,60;2,00
PEPSODENT HERBAL 75+25G;8.000,00;0,00
CALLUS SHAVE KIKIR KAKI;10.438,44;0,00
IMPLORA ICARE MELON KOALA;3.793,00;0,00
CUSSON BABY PWD FRESH NOURISH 75+25G;5.800,00;0,00
PARAMAU OIL 100 ML;155.400,00;0,00
